section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,_venue-slug,show-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,_i-was-there,_calendar-subject,,_recording
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-04,,1994-01-01,,,U Street,Washington DC,,USA,u-street-washington-dc-usa,dean-wareham-2014-04-04-u-street-washington-dc-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Blue Thunder|Emancipated Hearts|The Dancer Disappears|Holding Pattern|Tiger Lily|Heartless People|Temperature's Rising|When Will You Come Home|Love Is Not A Roof Against The Rain|Moon Palace|Lost In Space|Babes In The Wood|Tugboat|Indian Summer|Ceremony,,,,,,,Early show,|bluethunder|emancipatedhearts|thedancerdisappears|holdingpattern|tigerlily|heartlesspeople|temperaturesrising|whenwillyoucomehome|loveisnotaroofagainsttherain|moonpalace|lostinspace|babesinthewood|tugboat|indiansummer|ceremony|,,"2014: Dean Wareham - U Street, Washington DC, USA",,2014-04-04
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-05,,1994-01-01,,,Bowery Ballroom,New York,NY,USA,bowery-ballroom-new-york-ny-usa,dean-wareham-2014-04-05-bowery-ballroom-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Emancipated Hearts|Heartless People|Tiger Lily|The Dancer Disappears|Holding Pattern|Temperature's Rising|When Will You Come Home|Love Is Not a Roof Against The Rain|Blue Thunder|Moon Palace|Lost in Space|Babes in the Wood|Tugboat|^encore 1|Don't Let Our Youth Go To Waste|Strange|^encore 2)|Happy and Free|Ceremony,,,,,,,,|emancipatedhearts|heartlesspeople|tigerlily|thedancerdisappears|holdingpattern|temperaturesrising|whenwillyoucomehome|loveisnotaroofagainsttherain|bluethunder|moonpalace|lostinspace|babesinthewood|tugboat|encore1|dontletouryouthgotowaste|strange|encore2|happyandfree|ceremony|,,"2014: Dean Wareham - Bowery Ballroom, New York, NY, USA",,2014-04-05
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-06,,1994-01-01,,,Boot and Saddle,Philadelphia,PA,USA,boot-and-saddle-philadelphia-pa-usa,dean-wareham-2014-04-06-boot-and-saddle-philadelphia-pa-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Boot and Saddle, Philadelphia, PA, USA",,2014-04-06
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-06,,1994-01-01,,,WXPN,Philadelphia,PA,USA,wxpn-philadelphia-pa-usa,dean-wareham-2014-04-06-wxpn-philadelphia-pa-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Holding Pattern|Heartless People|Tiger Lily,,,,,,,,|holdingpattern|heartlesspeople|tigerlily|,,"2014: Dean Wareham - WXPN, Philadelphia, PA, USA",,2014-04-06
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-09,,1994-01-01,,,Horseshoe,Toronto,Ontaria,Canada,horseshoe-toronto-ontaria-canada,dean-wareham-2014-04-09-horseshoe-toronto-ontaria-canada,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Horseshoe, Toronto, Ontaria, Canada",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-10,,1994-01-01,,,Magic Bag,Ferndale,MI,USA,magic-bag-ferndale-mi-usa,dean-wareham-2014-04-10-magic-bag-ferndale-mi-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Magic Bag, Ferndale, MI, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-11,,1994-01-01,,,93XRT,Chicago,IL,USA,93xrt-chicago-il-usa,dean-wareham-2014-04-11-93xrt-chicago-il-usa,Radio session,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - 93XRT, Chicago, IL, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-11,-early,1994-01-01,,,Old Town School of Music,Chicago,IL,USA,old-town-school-of-music-chicago-il-usa,dean-wareham-2014-04-11-early-old-town-school-of-music-chicago-il-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,early show,,,"2014: Dean Wareham - Old Town School of Music, Chicago, IL, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-11,-late,1994-01-01,,,Old Town School of Music,Chicago,IL,USA,old-town-school-of-music-chicago-il-usa,dean-wareham-2014-04-11-late-old-town-school-of-music-chicago-il-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,late show,,,"2014: Dean Wareham - Old Town School of Music, Chicago, IL, USA",,
dean-wareham,dean-wareham,Dean Wareham,2014,2014-04-12,,1994-01-01,,,Turf Club,Saint Paul,MN,USA,turf-club-saint-paul-mn-usa,dean-wareham-2014-04-12-turf-club-saint-paul-mn-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2014: Dean Wareham - Turf Club, Saint Paul, MN, USA",,
