slug,artistname,year,date,disambiguate,date-added,series,venue,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index
luna,Luna,1994,1994-04-29,,1994-01-01,,"Ciceros Basement Bar, St. Louis, MO, USA",ciceros-basement-bar-st-louis-mo-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-05-05,,1994-01-01,,"Shank Hall, Milwaukee, WI, USA",shank-hall-milwaukee-wi-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,California (All The Way)|Slide|Going Home|Anesthesia|Tiger Lily|Thank You for Sending Me an Angel|Friendly Advice|We're Both Confused|This Time Around|That's What You Always Say|Slash Your Tires|Bewitched|Time to Quit|Indian Summer|Hey Sister,,,,,,,(Setlist source: recording),|californiaalltheway|slide|goinghome|anesthesia|tigerlily|thankyouforsendingmeanangel|friendlyadvice|werebothconfused|thistimearound|thatswhatyoualwayssay|slashyourtires|bewitched|timetoquit|indiansummer|heysister|
luna,Luna,1994,1994-05-06,,1994-01-01,,"Caberet Metro, Chicago IL, USA",caberet-metro-chicago-il-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-05-08,,1994-01-01,,"Euclid Tavern, Cleveland OH, USA",euclid-tavern-cleveland-oh-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,Setlist source: Kiek email 2008-05-19,
luna,Luna,1994,1994-05-16,,1994-01-01,,"Caberet Metro, Chicago IL, USA",caberet-metro-chicago-il-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,California (All The Way)|Anesthesia|Going Home|Slide|Thank You for Sending Me an Angel|Tiger Lily|Friendly Advice|I Can't Wait|Slash Your Tires|That's What You Always Say|Time to Quit|Hold on (John)|Indian Summer|I Want Everything,,,,,,,,|californiaalltheway|anesthesia|goinghome|slide|thankyouforsendingmeanangel|tigerlily|friendlyadvice|icantwait|slashyourtires|thatswhatyoualwayssay|timetoquit|holdonjohn|indiansummer|iwanteverything|
luna,Luna,1994,1994-05-20,,1994-01-01,,"LA2, London, UK",la2-london-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Crazy People|California (All The Way)|Thank You for Sending Me an Angel|Tiger Lily|This Time Around|Hold on (John)|Friendly Advice|Time to Quit,recording,,,,,Stream|https://www.youtube.com/watch?v=uwVAjqID0JE|YouTube (ahfow),"‘Supporting the Auteurs”,",|crazypeople|californiaalltheway|thankyouforsendingmeanangel|tigerlily|thistimearound|holdonjohn|friendlyadvice|timetoquit|
luna,Luna,1994,1994-05-23,,1994-01-01,,"Bierkeller, Bristol, UK",bierkeller-bristol-uk,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Time|California (All The Way)|Thank You for Sending Me an Angel|Tiger Lily|Slash Your Tires|Friendly Advice|I Want Everything|That's What You Always Say|Time to Quit,setlist scan,,,,,,Supporting the AuteursReview and setlist and David Rose's Gig Diaries,|time|californiaalltheway|thankyouforsendingmeanangel|tigerlily|slashyourtires|friendlyadvice|iwanteverything|thatswhatyoualwayssay|timetoquit|
luna,Luna,1994,1994-06-06,,1994-01-01,,"Club Quatro, Tokyo, Japan",club-quatro-tokyo-japan,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Sleeping Pill|California (All The Way)|Slide|Going Home|Anesthesia|Thank You for Sending Me an Angel|Tiger Lily|Hey Sister|Friendly Advice|Hold on (John)|This Time Around|Slash Your Tires|Into The Fold|That's What You Always Say|Time to Quit|Indian Summer|Ride Into the Sun,,,,,,,,|sleepingpill|californiaalltheway|slide|goinghome|anesthesia|thankyouforsendingmeanangel|tigerlily|heysister|friendlyadvice|holdonjohn|thistimearound|slashyourtires|intothefold|thatswhatyoualwayssay|timetoquit|indiansummer|rideintothesun|
luna,Luna,1994,1994-06-19,,1994-01-01,,"Tune Inn, New Haven, CT, USA",tune-inn-new-haven-ct-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-07-01,,1994-01-01,,"Maxwells, Hoboken NJ, USA",maxwells-hoboken-nj-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-07-12,,1994-01-01,,"Casbah, San Diego CA, USA",casbah-san-diego-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Hey Sister|California (All The Way)|Anesthesia|Going Home|Thank You for Sending Me an Angel|Tiger Lily|Slide|This Time Around|We're Both Confused|Crazy People|Friendly Advice|Into The Fold|That's What You Always Say|Time to Quit|Indian Summer,,,,,,,,|heysister|californiaalltheway|anesthesia|goinghome|thankyouforsendingmeanangel|tigerlily|slide|thistimearound|werebothconfused|crazypeople|friendlyadvice|intothefold|thatswhatyoualwayssay|timetoquit|indiansummer|
luna,Luna,1994,1994-07-13,,1994-01-01,,"Coach House, Los Angeles CA, USA",coach-house-los-angeles-ca-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,Sleeping Pill|This Time Around|Ride Into the Sun|Anesthesia|Going Home|Thank You for Sending Me an Angel|Tiger Lily|California (All The Way)|Hold On (John)|Slash Your Tires|Flowers|Friendly Advice|That's What You Always Say|Into The Fold|Indian Summer,,,,,,,,|sleepingpill|thistimearound|rideintothesun|anesthesia|goinghome|thankyouforsendingmeanangel|tigerlily|californiaalltheway|holdonjohn|slashyourtires|flowers|friendlyadvice|thatswhatyoualwayssay|intothefold|indiansummer|
luna,Luna,1994,1994-07-18,,1994-01-01,,"La Luna, Portland, OR, USA",la-luna-portland-or-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-07-19,,1994-01-01,,"Moes, Seattle WA, USA",moes-seattle-wa-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,California (All The Way)|Anesthesia|This Time Around|Going Home|Slide|Tiger Lily|Thank You for Sending Me an Angel|Hey Sister|I Can't Wait|Into The Fold|Fourth of July|Friendly Advice|That's What You Always Say|Time to Quit,,,,,,,,|californiaalltheway|anesthesia|thistimearound|goinghome|slide|tigerlily|thankyouforsendingmeanangel|heysister|icantwait|intothefold|fourthofjuly|friendlyadvice|thatswhatyoualwayssay|timetoquit|
luna,Luna,1994,1994-08-12,,1994-01-01,,"Lupos Heartbreak Hotel, Providence, RI, USA",lupos-heartbreak-hotel-providence-ri-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,With Small Factory and Blueshift Signal,
luna,Luna,1994,1994-08-13,,1994-01-01,,"Hatch Shell, Boston, MA, USA",hatch-shell-boston-ma-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stan Demeski - drums|Sean Eden - guitar,,,,,,,,Support: The Gigolo Aunts,
luna,Luna,1994,1994-10-08,,1994-01-01,,"Bowdoin College, Brunswick, ME, USA",bowdoin-college-brunswick-me-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
luna,Luna,1994,1994-11-18,,1994-01-01,,"Tramps, New York NY, USA",tramps-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,It's Bringing You Down|Smile|Thank You for Sending Me an Angel|Crazy People|This Time Around|23 Minutes in Brussels|I Can't Wait|Bewitched|Outdoor Miner|Chinatown|Time to Quit|Tiger Lily|Fourth of July|That's What You Always Say|Friendly Advice|Into The Fold|Slash Your Tires|Slide|Sleeping Pill,,,,,,,,|itsbringingyoudown|smile|thankyouforsendingmeanangel|crazypeople|thistimearound|minutesinbrussels|icantwait|bewitched|outdoorminer|chinatown|timetoquit|tigerlily|fourthofjuly|thatswhatyoualwayssay|friendlyadvice|intothefold|slashyourtires|slide|sleepingpill|
luna,Luna,1995,1995-05-09,,1994-01-01,,"BBC Radio One, Manchester, UK",bbc-radio-one-manchester-uk,Radio session,,Dean Wareham - guitar/vocals|Justin Harwood - bass|Stanley Demeski - drums|Sean Eden - guitar,,,,,,,,,
