section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-13,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Dowes,Pittsburgh,PA,USA,dowes-pittsburgh-pa-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Bewitched|Tiger Lily|Chinatown|Bonnie and Clyde|Ginger Snaps|Tugboat,,,,,,,,|singersing|nightnurse|hearthewindblow|youturnedmyheadaround|moonpalace|thesunisstillsunny|wordsyouusedtosay|sinceilaymyburdendown|knivesfrombavaria|bewitched|tigerlily|chinatown|bonnieandclyde|gingersnaps|tugboat|,,"2007: Dean & Britta - Dowes, Pittsburgh, PA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-14,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Beachland Ballroom,Cleveland,OH,USA,beachland-ballroom-cleveland-oh-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Beachland Ballroom, Cleveland, OH, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-15,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Schuba's,Chicago,IL,USA,schubas-chicago-il-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Knives From Bavaria|Bewitched|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Chinatown,,,,,,,,|singersing|nightnurse|hearthewindblow|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|sinceilaymyburdendown|knivesfrombavaria|bewitched|tigerlily|tugboat|bonnieandclyde|gingersnaps|chinatown|,,"2007: Dean & Britta - Schuba's, Chicago, IL, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-16,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Schuba's,Chicago,IL,USA,schubas-chicago-il-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Strange|Tiger Lily|Knives From Bavaria|Chinatown|Bonnie and Clyde|Ginger Snaps|Bewitched|Tugboat,,,,,,,,|singersing|nightnurse|hearthewindblow|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|sinceilaymyburdendown|strange|tigerlily|knivesfrombavaria|chinatown|bonnieandclyde|gingersnaps|bewitched|tugboat|,,"2007: Dean & Britta - Schuba's, Chicago, IL, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-17,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Cedar Cultural Center,Minneapolis,MN,USA,cedar-cultural-center-minneapolis-mn-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Strange|Tiger Lily|Knives From Bavaria|Chinatown|Bonnie and Clyde|Ginger Snaps|Bewitched|Tugboat,,,,,,,,|singersing|nightnurse|ourlovewillstillbethere|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|sinceilaymyburdendown|strange|tigerlily|knivesfrombavaria|chinatown|bonnieandclyde|gingersnaps|bewitched|tugboat|,,"2007: Dean & Britta - Cedar Cultural Center, Minneapolis, MN, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-19,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,High Noon Saloon,Madison,WI,USA,high-noon-saloon-madison-wi-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Tiger Lily|Tugboat|Knives From Bavaria|Chinatown|Bonnie and Clyde|Random Rules|Ginger Snaps|Bewitched,,,,,,,,|singersing|nightnurse|ourlovewillstillbethere|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|sinceilaymyburdendown|tigerlily|tugboat|knivesfrombavaria|chinatown|bonnieandclyde|randomrules|gingersnaps|bewitched|,,"2007: Dean & Britta - High Noon Saloon, Madison, WI, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-20,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Music Mill,Indianapolis,IN,USA,music-mill-indianapolis-in-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Our Love Will Still Be There|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Tiger Lily|Bewitched|Bonnie and Clyde|Ginger Snaps|Tugboat,,,,,,,,|singersing|nightnurse|ourlovewillstillbethere|youturnedmyheadaround|moonpalace|thesunisstillsunny|wordsyouusedtosay|sinceilaymyburdendown|knivesfrombavaria|tigerlily|bewitched|bonnieandclyde|gingersnaps|tugboat|,,"2007: Dean & Britta - Music Mill, Indianapolis, IN, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-22,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Mercy Lounge,Nashville,TN,USA,mercy-lounge-nashville-tn-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Hear The Wind Blow|You Turned My Head Around|Moon Palace|The Sun Is Still Sunny|Words You Used To Say|Since I Lay My Burden Down|Knives From Bavaria|Chinatown|Tiger Lily|Tugboat|Bonnie and Clyde|Ginger Snaps|Bewitched,,,,,,,,|singersing|nightnurse|hearthewindblow|youturnedmyheadaround|moonpalace|thesunisstillsunny|wordsyouusedtosay|sinceilaymyburdendown|knivesfrombavaria|chinatown|tigerlily|tugboat|bonnieandclyde|gingersnaps|bewitched|,,"2007: Dean & Britta - Mercy Lounge, Nashville, TN, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-23,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Variety Playhouse,Atlanta,GA,USA,variety-playhouse-atlanta-ga-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Night Nurse|Our Love Will Still Be There|Words You Used To Say|Moon Palace|The Sun Is Still Sunny|You Turned My Head Around|Since I Lay My Burden Down|Knives From Bavaria|Strange|Tiger Lily|Bewitched|Chinatown|Bonnie and Clyde|Ginger Snaps|Tugboat,,,,,,,,|singersing|nightnurse|ourlovewillstillbethere|wordsyouusedtosay|moonpalace|thesunisstillsunny|youturnedmyheadaround|sinceilaymyburdendown|knivesfrombavaria|strange|tigerlily|bewitched|chinatown|bonnieandclyde|gingersnaps|tugboat|,,"2007: Dean & Britta - Variety Playhouse, Atlanta, GA, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-24,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Cats Cradle,Carrboro,NC,USA,cats-cradle-carrboro-nc-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,,,,,,,,,,,"2007: Dean & Britta - Cats Cradle, Carrboro, NC, USA"
dean-and-britta,dean-and-britta,Dean & Britta,2007,2007-03-29,,Sat Jan 01 1994 00:00:00 GMT+0000 (Greenwich Mean Time),,,Black Cat,Washington DC,,USA,black-cat-washington-dc-usa,,,Dean Wareham - guitar/vocals|Britta Phillips - bass/keyboards/vocals,Singer Sing|Our Love Will Still Be There|White Horses|Hear The Wind Blow|Words You Used To Say|The Sun Is Still Sunny|You Turned My Head Around|Knives From Bavaria|Chinatown|Strange|Tiger Lily|Since I Lay My Burden Down|Night Nurse|Bonnie and Clyde|Ginger Snaps|Bewitched,,,,,,,,|singersing|ourlovewillstillbethere|whitehorses|hearthewindblow|wordsyouusedtosay|thesunisstillsunny|youturnedmyheadaround|knivesfrombavaria|chinatown|strange|tigerlily|sinceilaymyburdendown|nightnurse|bonnieandclyde|gingersnaps|bewitched|,,"2007: Dean & Britta - Black Cat, Washington DC, USA"
