section-slug,slug,artistname,year,date,disambiguate,date-added,series,event,venue,city,state,country,venue-slug,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,audio,notes,setlist-index,i-was-there,calendar-subject
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Mar 31 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Furst Rock,St Louis,MO,USA,furst-rock-st-louis-mo-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,Two sets,,,"1989: Galaxie 500 - Furst Rock, St Louis, MO, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Apr 01 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Top Hat,Newport,KY,USA,top-hat-newport-ky-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Top Hat, Newport, KY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Apr 03 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Wrocklage,Lexington,KY,USA,wrocklage-lexington-ky-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-04-03/galaxie-500-1989-04-03-poster.jpg,,,,,,,"1989: Galaxie 500 - Wrocklage, Lexington, KY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Tue Apr 04 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Masonic Temple,Pittsburgh,PA,USA,masonic-temple-pittsburgh-pa-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Masonic Temple, Pittsburgh, PA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Thu Apr 06 1989 00:00:00 GMT+0100 (British Summer Time),,,,,9:30 Club,Washington DC,,USA,930-club-washington-dc-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Opening for Throwing Muses”,,,"1989: Galaxie 500 - 9:30 Club, Washington DC, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Apr 08 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Maxwell's,Hoboken,NJ,USA,maxwells-hoboken-nj-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “Opening for Christmas”,,,"1989: Galaxie 500 - Maxwell's, Hoboken, NJ, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Apr 21 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Commonwealth School,Boston,MA,USA,commonwealth-school-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Commonwealth School, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Apr 28 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The Pyramid,New York,NY,USA,the-pyramid-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - The Pyramid, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Apr 29 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Rat,Boston,MA,USA,rat-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Flowers|When Will You Come Home|Plastic Bird|Ceremony|Temperature's Rising|Strange|Rain|Don't Let Our Youth Go to Waste|Tugboat,,,,,,,,|flowers|whenwillyoucomehome|plasticbird|ceremony|temperaturesrising|strange|rain|dontletouryouthgotowaste|tugboat|,,"1989: Galaxie 500 - Rat, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri May 12 1989 00:00:00 GMT+0100 (British Summer Time),,,,,TT The Bear's,Cambridge,MA,USA,tt-the-bears-cambridge-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - TT The Bear's, Cambridge, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat May 13 1989 00:00:00 GMT+0100 (British Summer Time),,,,,CBGBs,New York,NY,USA,cbgbs-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - CBGBs, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat May 20 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The Channel,Boston,MA,USA,the-channel-boston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,DW: “opening for Bullet LaVolta”,,,"1989: Galaxie 500 - The Channel, Boston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Jun 02 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The Living Room,Providence,RI,USA,the-living-room-providence-ri-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - The Living Room, Providence, RI, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Fri Jul 07 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Sideshows by the Seashore,Coney Island,NY,USA,sideshows-by-the-seashore-coney-island-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Sideshows by the Seashore, Coney Island, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Jul 17 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Nightingale Bar,New York,NY,USA,nightingale-bar-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Nightingale Bar, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Wed Jul 19 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Pyramid,New York,NY,USA,pyramid-new-york-ny-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,Plastic Bird|Blue Thunder|Don't Let Our Youth Go to Waste|Decomposing Trees|Temperature's Rising|Ceremony,,,,,,,,|plasticbird|bluethunder|dontletouryouthgotowaste|decomposingtrees|temperaturesrising|ceremony|,,"1989: Galaxie 500 - Pyramid, New York, NY, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Mon Jul 31 1989 00:00:00 GMT+0100 (British Summer Time),,,,,Bunratty's,Allston,MA,USA,bunrattys-allston-ma-usa,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,,,,,,,,"1989: Galaxie 500 - Bunratty's, Allston, MA, USA"
galaxie-500,galaxie-500,Galaxie 500,1989,Sat Sep 23 1989 00:00:00 GMT+0100 (British Summer Time),,,,,The White Hart,"Tulse Hill, London",,UK,the-white-hart-tulse-hill-london-uk,,,Dean Wareham - guitar/vocals|Naomi Yang - bass/vocals|Damon Krukowski - drums,,,,https://media.fullofwishes.co.uk/01-galaxie_500/show_assets/1989-09-23/1989-09-23-galaxie-500-the-white-hart-tulse-hill-window-notice.jpg,,,,Secret gigDW: “a pub in Tulse Hill”,,,"1989: Galaxie 500 - The White Hart, Tulse Hill, London, UK"
