slug,artistname,year,date,date-added,series,venue,radio,cancelled,performers,setlist,setlist-source,support,poster-url,ticket-url,venue-url,notes
dean-wareham,Dean Wareham,2020,Mon Apr 27 2020 00:00:00 GMT+0100 (British Summer Time),Sat Feb 01 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Petit Bain, Paris, France",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,,,
dean-and-britta,Dean & Britta,2020,Tue Apr 28 2020 00:00:00 GMT+0100 (British Summer Time),Sun May 10 2020 00:00:00 GMT+0100 (British Summer Time),,"Dean & Britta's living room, Echo Park, LA, USA",,,Dean Wareham - guitar/vocals,(Walkin' Thru The) Sleepy City|Hearing Voices|California Blue,,,,,,Ad-hoc live stream from Dean &amp; Britta’s home in Los Angeles
dean-wareham,Dean Wareham,2020,Tue Apr 28 2020 00:00:00 GMT+0100 (British Summer Time),Fri Mar 01 2019 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Paard Van Troje, The Hague, The Netherlands",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.paard.nl/tickets/51775,https://www.paard.nl/event/dean-wareham/,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-wareham,Dean Wareham,2020,Wed Apr 29 2020 00:00:00 GMT+0100 (British Summer Time),Fri Mar 01 2019 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"MTC Club, Cologne, Germany",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,,https://mtc-cologne.de/event/mi-29-04-dean-wareham-plays-galaxie-500,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-and-britta,Dean & Britta,2020,Fri May 01 2020 00:00:00 GMT+0100 (British Summer Time),Sun May 10 2020 00:00:00 GMT+0100 (British Summer Time),,"Dean & Britta's living room, Echo Park, LA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,Holding Pattern|Teenage Lightning,,,,,,Ad-hoc live stream from Dean &amp; Britta’s home in Los Angeles
dean-wareham,Dean Wareham,2020,Fri May 01 2020 00:00:00 GMT+0100 (British Summer Time),Thu Jan 30 2020 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Bi Nuu, Berlin, Germany",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://www.direct-ticket.de/produkte/812-tickets-galaxie-500-bi-nuu-berlin-am-01-05-2020,https://www.binuu.de/,
dean-wareham,Dean Wareham,2020,Sat May 02 2020 00:00:00 GMT+0100 (British Summer Time),Fri Mar 01 2019 00:00:00 GMT+0000 (Greenwich Mean Time),Dean Wareham plays Galaxie 500,"Loppen, Copenhagen, Denmark",,true,Dean Wareham - guitar/vocals|Britta Phillips - bass,,,,,https://tikkio.com/tickets/14736-dean-wareham-us-pa-loppen,http://loppen.dk/kalender/dean-wareham,Dean Wareham plays Galaxie 500’s On Fire + more.
dean-and-britta,Dean & Britta,2020,Sun May 03 2020 00:00:00 GMT+0100 (British Summer Time),Sun May 10 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,Bobby Peru|The Sun is Still Sunny,,,,,,Ad-hoc live stream from Dean &amp; Britta’s home in Los Angeles
dean-and-britta,Dean & Britta,2020,Mon May 11 2020 00:00:00 GMT+0100 (British Summer Time),Tue May 12 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,Massachusetts,,,,,,Ad-hoc live stream from Dean &amp; Britta’s home in Los Angeles
dean-and-britta,Dean & Britta,2020,Thu May 14 2020 00:00:00 GMT+0100 (British Summer Time),Sun May 10 2020 00:00:00 GMT+0100 (British Summer Time),live stream,"Dean & Britta's living room, Echo Park, Los Angeles, CA, USA",,,Britta Phillips - bass/keyboards/vocals|Dean Wareham - guitar/vocals,Tugboat|Knives From Bavaria|I Want Everything|Cheese and Onions|Into The Fold|Heartless People|Strange|I'll Keep It With Mine|Moon Palace|Massachusetts|Blue Thunder|Ceremony,,,,,,Live stream from Dean &amp; Britta’s home in Los Angeles
